"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"REFI","1","Mortgage Details","9","Refinance","4","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating mortgage is a refinance of previous mortgage","MORTGAGE","Character","JREFI","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did this mortgage refinance a previous mortgage?","REFI","None","LOANTYPE in ( '1' '2' ) and MORTNEW not in ( '2' '3' )","",
"REFICSH","2","Mortgage Details","9","Refinance","4","2023 National, 2023 Metro, 2021 National, 2021 Metro","PUF","Flag indicating mortgage refinanced to receive cash or increase the outstanding balance of the loan","MORTGAGE","Character","JREFICSH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you refinance this mortgage or loan to receive cash?","GTCASH","None","REFI = '1'","",
"REFICSHAMT","3","Mortgage Details","9","Refinance","4","2023 National, 2023 Metro, 2021 National, 2021 Metro","PUF","Amount of cash received from refinance","MORTGAGE","Numeric","JREFICSHAMT","Coming soon","1 : 999997: $1 to $999,997||999998: $999,998 or more||M or -9: Not reported||N or -6: Not applicable","When you refinanced for this mortgage or loan, how much cash did you receive?","CASH","Noise","REFICSH = '1'","",
"HMRACCESS","1","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Flag indicating home improvements done in last two years to make home more accessible for those with physical limitations","HOUSEHOLD","Character","JHMRACCESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to make your home more accessible for people with physical limitations, such as people using a wheelchair or a walker?","HMRACCESS","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRACCESS","1","Home Improvement","10","General","1","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to make home more accessible for elderly or disabled in last two years","HOUSEHOLD","Character","JHMRACCESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to make your home more accessible for the elderly or disabled?","HMRACCESS","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRENEFF","2","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to make home more energy efficient in last two years","HOUSEHOLD","Character","JHMRENEFF","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to improve energy efficiency?","HMRENEFF","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRSALE","3","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to get house ready for sale in last two years","HOUSEHOLD","Character","JHMRSALE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to get your house ready for sale?","HMRSALE","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"MAINTAMT","4","Home Improvement","10","General","1","2023 National, 2023 Metro","PUF","Amount of annual routine maintenance costs","HOUSEHOLD","Numeric","JMAINTAMT","Coming soon","0 : 99997: $0 to $99,997||99998: $99,998 or more||M or -9: Not reported||N or -6: Not applicable","In a TYPICAL YEAR, about how much does your household spend for routine repairs and maintenance, such as painting, plumbing, roofing, or other minor repairs?","CSTMNT","Noise","INTSTATUS = '1' and TENURE = '1'","",
"MAINTAMT","4","Home Improvement","10","General","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Amount of annual routine maintenance costs","HOUSEHOLD","Numeric","JMAINTAMT","Coming soon","0 : 9997: $0 to $9,997||9998: $9,998 or more||M or -9: Not reported||N or -6: Not applicable","In a TYPICAL YEAR, about how much does your household spend for routine repairs and maintenance, such as painting, plumbing, roofing, or other minor repairs?","CSTMNT","Noise","INTSTATUS = '1' and TENURE = '1'","",
"REMODAMT","5","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Total cost of home improvement jobs in last two years","HOUSEHOLD","Numeric","JREMODAMT","Coming soon","0 : 9999997: $0 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable","NA","NA","Topcoded","INTSTATUS = '1' and TENURE = '1'","REMODAMT=0 indicates that either the respondent did not report any home improvement jobs, or the respondent reported one or more home improvement jobs and all had a cost of $0.",
"REMODJOBS","6","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Total number of home improvement jobs in last two years","HOUSEHOLD","Numeric","JREMODJOBS","Coming soon","0 : 41: 0 to 41 jobs||N or -6: Not applicable","NA","NA","None","INTSTATUS = '1' and TENURE = '1'","",
"JOBCOMP","1","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating if the home improvement job is complete","PROJECT","Character","JJOBCOMP","Coming soon","1: Yes||2: No||M or -9: Not reported","Is this job complete?","XXXXCMP","None","INTSTATUS = '1' and TENURE = '1'","XXXX represents the type of job (for example, FENCECMP).",
"JOBCOMPYR","2","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Year home improvement job was completed","PROJECT","Character","JJOBCOMPYR","Coming soon","1: 20XX - 2||2: 20XX - 1||3: 20XX||M or -9: Not reported||N or -6: Not applicable","Was it completed in ____, ____, or ____.","XXXXYR","None","INTSTATUS = '1' and TENURE = '1' and JOBCOMP = '1'","In the Response Codes, 20XX is the year the survey was conducted. For example, in the 2017 survey, Response Code 1 = (20XX - 2) = (2017 - 2) = 2015. In the Instrument Variable Name, XXXXYR, XXXX indicates the type of home improvement job.",
"JOBCOST","3","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Cost of home improvement job","PROJECT","Numeric","JJOBCOST","Coming soon","0 : 999997: $0 to $999,997||999998: $999,998 or more||M or -9: Not reported","How much did the entire XXXX job cost, including your costs and any amount covered by insurance, not counting your time?","XXXXAM","Rounded/Topcoded","INTSTATUS = '1' and TENURE = '1'","XXXX represents the type of job (for example, FENCEAM).",
"JOBDIY","4","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating job was do-it-yourself","PROJECT","Character","JJOBDIY","Coming soon","1: Yes||2: No","Did someone in your household do most of the work?","XXXXWK","None","INTSTATUS = '1' and TENURE = '1'","XXXX represents the type of job (for example, FENCEWK).",
"JOBFUNDS","5","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Main source of funding for home improvement job","PROJECT","Character","JJOBFUNDS","Coming soon","1: Cash from savings||2: Cash from refinancing home||3: A home equity loan||4: Homeowner's insurance settlement||5: Credit card or retail store charge card||6: Contractor arranged financing||7: Other||M or -9: Not reported","What was the main source of funding for this job?","XXXXFIN","None","INTSTATUS = '1' and TENURE = '1'","XXXX represents the type of job (for example, FENCEFIN).",
"JOBTYPE","6","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of home improvement job","PROJECT","Character","JJOBTYPE","Coming soon","01: Earthquake damage required extensive repairs to home||02: Tornado or hurricane damage required extensive repairs to home||03: Landslide damage required extensive repairs to home||04: Fire damage required extensive repairs to home||05: Flood damage required extensive repairs to home||06: Other natural disaster damage required extensive repairs to home||07: Added bedroom or converted existing space to bedroom||08: Added bathroom or converted existing space to bathroom||09: Added recreation room or converted existing space to recreation room||10: Added kitchen or converted existing space to kitchen||11: Added other room or converted existing space to other room||12: Remodeled bathroom||13: Remodeled kitchen||14: Added attached garage or carport||15: Added porch, deck, patio, or terrace||16: Added or replaced roofing||17: Added or replaced siding||18: Added or replaced doors or windows||19: Added or replaced chimney, stairs or other part of exterior||20: Added or replaced insulation||21: Added or replaced interior water pipes||22: Added or replaced plumbing fixtures||23: Added or replaced electrical wiring, fuse boxes, breaker panels, or built-in lighting||24: Added or replaced security system||25: Installed carpeting, flooring, paneling, ceiling tiles or drywall||26: Added or replaced central air conditioning||27: Added or replaced built-in heating equipment||28: Added or replaced septic tank||29: Added or replaced water heater||30: Added or replaced built-in dishwasher or garbage disposal||31: Other major improvements or repairs inside home (up to three could be reported)||32: Added or replaced driveways or walkways||33: Added or replaced fencing or walls||34: Added or replaced swimming pool, tennis court, or other recreational structure||35: Added or replaced shed, detached garage, or other building||36: Added or replaced landscaping or sprinkler system||37: Other major improvements or repairs to lot or yard (up to three could be reported)","In the last two years, have you added or replaced XXXX / did you remodel any XXXX?","See User Notes","None","INTSTATUS = '1' and TENURE = '1'","AHS collects home improvement jobs that were underway in the 24 months prior to the time of interview. Special procedures are in place to eliminate the double counting of jobs in multiple survey years. In the Question Text, XXXX indicates the type of home improvement job. For example, In the last two years, have you added or replaced a SHED?",
"JOBWORKYR","7","Home Improvement","10","Job Specific","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Year that the majority of home improvement expenses were incurred for this job","PROJECT","Character","JJOBWORKYR","Coming soon","1: YYYY - 2||2: YYYY - 1||3: YYYY||M or -9: Not reported||N or -6: Not applicable","When did you incur the majority of your expenses for this project?","XXXXYRCST","None","INTSTATUS = '1' and TENURE = '1' and JOBCOMP <> '1'","XXXX represents the type of job (for example, FENCEYRCST).",
"DISRPCOM","1","Home Improvement","10","Houston Aid","3","2019 National, 2019 Metro","PUF","Flag indicating Houston unit received financial help from a community organization to help with clean-up or repairs","HOUSEHOLD","Character","JDISRPCOM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you receive any financial help from a community organization, such as the Red Cross or a church, to help with clean-up or repairs?","DISRPCOM","None","INTSTATUS = '1' and TENURE = '1' and OMB13CBSA = '26420'","",
"DISRPFEMA","2","Home Improvement","10","Houston Aid","3","2019 National, 2019 Metro","PUF","Flag indicating Houston unit received financial help from government agency to help with clean-up or repairs","HOUSEHOLD","Character","JDISRPFEMA","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you receive any financial help from FEMA (the Federal Emergency Management Agency) or another government agency to help with clean-up or repairs?","DISRPFEMA","None","INTSTATUS = '1' and TENURE = '1' and OMB13CBSA = '26420'","",
"NORC","3","Neighborhood Features","11","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating respondent thinks the majority of neighbors 55 or older","HOUSEHOLD","Character","JNORC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?","NORC","None","INTSTATUS = '1' and AGERES in ('2' 'M')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NORC","3","Neighborhood Features","11","General","1","2015 National, 2015 Metro","PUF","Flag indicating respondent thinks the majority of neighbors 55 or older","HOUSEHOLD","Character","JNORC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?","NORC","None","INTSTATUS in ('1' '2' '3') and AGERES in ('2' 'M')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"SUBDIV","4","Neighborhood Features","11","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating house is part of a subdivision or housing development","HOUSEHOLD","Character","JSUBDIV","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is your home part of a subdivision or housing development?","SUBDIV","None","INTSTATUS = '1' and BLD in ('02' '03')","",
"SUBDIV","4","Neighborhood Features","11","General","1","2015 National, 2015 Metro","PUF","Flag indicating house is part of a subdivision or housing development","HOUSEHOLD","Character","JSUBDIV","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is your home part of a subdivision or housing development?","SUBDIV","None","INTSTATUS in ('1' '2' '3') and BLD in ('02' '03')","",
"NEARABAND","1","Neighborhood Features","11","Nearby Features","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of buildings that are abandoned or vandalized within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARABAND","Coming soon","1: Not more than one vandalized or abandoned building||2: More than one vandalized or abandoned building||3: There are no vandalized or abandoned buildings||4: No buildings nearby||M or -9: Not reported||N or -6: Not applicable","See User Notes","EABAN1","None","INTSTATUS = '1'","NEARABAND is determined using EABAN1 (Are there any vandalized or abandoned buildings within half a block of this unit?) and EABAN2 (Is there more than one vandalized or abandoned building?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NEARABAND","1","Neighborhood Features","11","Nearby Features","2","2015 National, 2015 Metro","PUF","Number of buildings that are abandoned or vandalized within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARABAND","Coming soon","1: Not more than one vandalized or abandoned building||2: More than one vandalized or abandoned building||3: There are no vandalized or abandoned buildings||4: No buildings nearby||M or -9: Not reported||N or -6: Not applicable","See User Notes","EABAN1","None","INTSTATUS in ('1' '2' '3')","NEARABAND is determined using EABAN1 (Are there any vandalized or abandoned buildings within half a block of this unit?) and EABAN2 (Is there more than one vandalized or abandoned building?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NEARBARCL","2","Neighborhood Features","11","Nearby Features","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of buildings with bars on windows within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARBARCL","Coming soon","1: Not more than one building with metal bars||2: More than one building with metal bars||3: No buildings with metal bars||M or -9: Not reported||N or -6: Not applicable","See User Notes","EBARCL1","None","INTSTATUS = '1'","NEARBARCL is determined using EBARCL1 (Now, thinking of ALL of the buildings that are within half a block of your unit, do any of these buildings have metal bars on their windows?) and EBARCL2 (Is there more than one building with metal bars on the windows?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NEARBARCL","2","Neighborhood Features","11","Nearby Features","2","2015 National, 2015 Metro","PUF","Number of buildings with bars on windows within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARBARCL","Coming soon","1: Not more than one building with metal bars||2: More than one building with metal bars||3: No buildings with metal bars||M or -9: Not reported||N or -6: Not applicable","See User Notes","EBARCL1","None","INTSTATUS in ('1' '2' '3')","NEARBARCL is determined using EBARCL1 (Now, thinking of ALL of the buildings that are within half a block of your unit, do any of these buildings have metal bars on their windows?) and EBARCL2 (Is there more than one building with metal bars on the windows?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NEARTRASH","9","Neighborhood Features","11","Nearby Features","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Frequency of trash, litter, or junk in streets, lots, or properties within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARTRASH","Coming soon","1: Large amount of trash||2: Small amount of trash||3: No trash||M or -9: Not reported||N or -6: Not applicable","See User Notes","EJUNK1","None","INTSTATUS = '1'","NEARTRASH is determined using EJUNK1 (Is there trash, litter or junk in the streets, roads, empty lots or on any properties within half a block of this unit?) and EJUNK2 (Is there a small amount or a large amount of trash, litter or junk?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NEARTRASH","9","Neighborhood Features","11","Nearby Features","2","2015 National, 2015 Metro","PUF","Frequency of trash, litter, or junk in streets, lots, or properties within 1/2 block of this housing unit","HOUSEHOLD","Character","JNEARTRASH","Coming soon","1: Large amount of trash||2: Small amount of trash||3: No trash||M or -9: Not reported||N or -6: Not applicable","See User Notes","EJUNK1","None","INTSTATUS in ('1' '2' '3')","NEARTRASH is determined using EJUNK1 (Is there trash, litter or junk in the streets, roads, empty lots or on any properties within half a block of this unit?) and EJUNK2 (Is there a small amount or a large amount of trash, litter or junk?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NOISE","1","Neighborhood Features","11","Problems with Neighbors/Neighborhood","3","2023 National, 2023 Metro","PUF","Noise in neighborhood is bothersome","HOUSEHOLD","Character","JNOISE","Coming soon","1: Yes||2: No||M or -9: Not reported","Does this neighborhood have bothersome street noise or heavy traffic?","NOISE","None","INTSTATUS in ('1' '2' '3')","",
"NHQPCRIME","1","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Agree or disagree: this neighborhood has a lot of petty crime","HOUSEHOLD","Character","JNHQPCRIME","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has a lot of petty crime.","NHQPCRIME","None","INTSTATUS = '1'","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQPCRIME","1","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Agree or disagree: this neighborhood has a lot of petty crime","HOUSEHOLD","Character","JNHQPCRIME","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has a lot of petty crime.","NHQPCRIME","None","INTSTATUS in ('1' '2' '3')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQPUBTRN","2","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Agree or disagree: this neighborhood has good bus, subway, or commuter train service","HOUSEHOLD","Character","JNHQPUBTRN","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has good bus, subway, or commuter train service.","NHQPUBTRAN","None","INTSTATUS = '1'","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQPUBTRN","2","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Agree or disagree: this neighborhood has good bus, subway, or commuter train service","HOUSEHOLD","Character","JNHQPUBTRN","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has good bus, subway, or commuter train service.","NHQPUBTRAN","None","INTSTATUS in ('1' '2' '3')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQRISK","3","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Agree or disagree: this neighborhood is at high risk for floods or other disasters","HOUSEHOLD","Character","JNHQRISK","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood is at high risk for floods or other disasters.","NHQRISK","None","INTSTATUS = '1'","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQRISK","3","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Agree or disagree: this neighborhood is at high risk for floods or other disasters","HOUSEHOLD","Character","JNHQRISK","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood is at high risk for floods or other disasters.","NHQRISK","None","INTSTATUS in ('1' '2' '3')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQSCHOOL","4","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Agree or disagree: this neighborhood has good schools","HOUSEHOLD","Character","JNHQSCHOOL","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has good schools.","NHQSCHOOL","None","INTSTATUS = '1'","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQSCHOOL","4","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Agree or disagree: this neighborhood has good schools","HOUSEHOLD","Character","JNHQSCHOOL","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has good schools.","NHQSCHOOL","None","INTSTATUS in ('1' '2' '3')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQSCRIME","5","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Agree or disagree: this neighborhood has a lot of serious crime","HOUSEHOLD","Character","JNHQSCRIME","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has a lot of serious crime.","NHQSCRIME","None","INTSTATUS = '1'","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"NHQSCRIME","5","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Agree or disagree: this neighborhood has a lot of serious crime","HOUSEHOLD","Character","JNHQSCRIME","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree with the following statement: This neighborhood has a lot of serious crime.","NHQSCRIME","None","INTSTATUS in ('1' '2' '3')","Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years.",
"RATINGHS","6","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Rating of unit as a place to live","HOUSEHOLD","Numeric","JRATINGHS","Coming soon","1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable","On a scale of 1 to 10, how would you rate your unit as a place to live?","HOWH","None","INTSTATUS = '1'","",
"RATINGHS","6","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Rating of unit as a place to live","HOUSEHOLD","Numeric","JRATINGHS","Coming soon","1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable","On a scale of 1 to 10, how would you rate your unit as a place to live?","HOWH","None","INTSTATUS in ('1' '2' '3')","",
"RATINGNH","7","Neighborhood Features","11","Ratings","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Rating of neighborhood as place to live","HOUSEHOLD","Numeric","JRATINGNH","Coming soon","1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable","How would you rate your neighborhood on a scale of 1-10?","HOWN","None","INTSTATUS = '1'","",
"RATINGNH","7","Neighborhood Features","11","Ratings","4","2015 National, 2015 Metro","PUF","Rating of neighborhood as place to live","HOUSEHOLD","Numeric","JRATINGNH","Coming soon","1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable","How would you rate your neighborhood on a scale of 1-10?","HOWN","None","INTSTATUS in ('1' '2' '3')","",
"MOVDISFIRE","4","Recent Movers","12","Disasters","1","2023 National, 2023 Metro","PUF","Flag indicating unit affected by fire","HOUSEHOLD","Character","JMOVDISFIRE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","See User Notes","MOVDISASTYP","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVDISAS = '1'","Respondent was forced to move by a fire that started inside the home, such as from an electrical shortage or cooking equipment, or a fire that started outside the home, such as from a wildfire. See MOVDISIF and MOVDISOF.",
"MOVDISOTH","11","Recent Movers","12","Disasters","1","2023 National, 2023 Metro","PUF","Flag indicating unit affected by other non-fire disaster","HOUSEHOLD","Character","JMOVDISOTH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","See User Notes","MOVDISASTYP","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVDISAS = '1'","Respondent was forced to move by an earthquake, flood, hurricane, landslide, tornado, or other non-fire type of disaster. See MOVDISE, MOVDISF, MOVDISH, MOVDISL, MOVDIST, and MOVDISO.",
"HRATE","1","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Rating of current home","HOUSEHOLD","Character","JHRATE","Coming soon","1: Better||2: Worse||3: About the same||M or -9: Not reported||N or -6: Not applicable","Is this housing unit better, worse, or about the same as your last home?","XHRATE","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"NRATE","2","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Rating of current neighborhood","HOUSEHOLD","Character","JNRATE","Coming soon","1: Better||2: Worse||3: About the same||4: Same neighborhood||M or -9: Not reported||N or -6: Not applicable","Is this neighborhood better, worse, or about the same as your last neighborhood?","XNRATE","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
